Year,Month,Standard Subvisions
2006,1,46
2006,2,50
2006,3,65
2006,4,45
2006,5,49
2006,6,78
2006,7,67
2006,8,85
2006,9,45
2006,10,70
2006,11,42
2006,12,33
2007,1,21
2007,2,24
2007,3,41
2007,4,44
2007,5,33
2007,6,43
2007,7,44
2007,8,46
2007,9,45
2007,10,38
2007,11,43
2007,12,38
2008,1,47
2008,2,41
2008,3,46
2008,4,41
2008,5,49
2008,6,47
2008,7,26
2008,8,39
2008,9,33
2008,10,21
2008,11,39
2008,12,27
2009,1,32
2009,2,30
2009,3,27
2009,4,31
2009,5,26
2009,6,32
2009,7,24
2009,8,22
2009,9,10
2009,10,14
2009,11,11
2009,12,10
2010,1,29
2010,2,18
2010,3,13
2010,4,17
2010,5,12
2010,6,14
2010,7,20
2010,8,13
2010,9,16
2010,10,14
2010,11,15
2010,12,3
2011,1,10
2011,2,11
2011,3,5
2011,4,18
2011,5,5
2011,6,8
2011,7,13
2011,8,2
2011,9,0
2011,10,0
2011,11,0
2011,12,0
2012,1,0
2012,2,0
2012,3,0
2012,4,0
2012,5,0
2012,6,0
2012,7,0
2012,8,0
2012,9,0
2012,10,0
2012,11,0
2012,12,0
2013,1,0
2013,2,0
2013,3,0
2013,4,0
2013,5,0
2013,6,0
2013,7,0
2013,8,0
2013,9,0
2013,10,0
2013,11,0
2013,12,0
2014,1,0
2014,2,0
2014,3,0
2014,4,0
2014,5,0
2014,6,0
2014,7,0
2014,8,0
2014,9,0
2014,10,0
2014,11,0
2014,12,0
2015,1,0
2015,2,0
2015,3,0
2015,4,0
2015,5,0
2015,6,40
2015,7,0
2015,8,0
2015,9,0
2015,10,0
2015,11,0
2015,12,0